Lyft,DoorDash,Instacart,Grubhub,Fiverr,Upwork,side hustle,gig,Herbalife,Primerica,Tupperware,Avon,Etsy,Shopify,Udemy,year,month,date,Lyft_lag,DoorDash_lag,Instacart_lag,Grubhub_lag,Fiverr_lag,Upwork_lag,side hustle_lag,gig_lag,Herbalife_lag,Primerica_lag,Tupperware_lag,Avon_lag,Etsy_lag,Shopify_lag,Udemy_lag
0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,2.0,3.0,15.0,1.0,0.0,0.0,2006,12,2006-12-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,2.0,3.0,15.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,3.0,3.0,16.0,1.0,0.0,0.0,2007,1,2007-01-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,2.0,3.0,15.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,3.0,3.0,17.0,2.0,0.0,0.0,2007,2,2007-02-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,3.0,3.0,16.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,3.0,3.0,18.0,1.0,0.0,0.0,2007,3,2007-03-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,3.0,3.0,17.0,2.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,3.0,3.0,17.0,2.0,0.0,0.0,2007,4,2007-04-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,3.0,3.0,18.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,3.0,3.0,18.0,2.0,0.0,0.0,2007,5,2007-05-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,3.0,3.0,17.0,2.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,3.0,3.0,17.0,2.0,0.0,0.0,2007,6,2007-06-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,3.0,3.0,18.0,2.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,3.0,3.0,18.0,3.0,0.0,0.0,2007,7,2007-07-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,3.0,3.0,17.0,2.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,2.0,3.0,3.0,18.0,3.0,0.0,0.0,2007,8,2007-08-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,3.0,3.0,18.0,3.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,3.0,3.0,18.0,3.0,0.0,0.0,2007,9,2007-09-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,2.0,3.0,3.0,18.0,3.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,3.0,3.0,17.0,3.0,0.0,0.0,2007,10,2007-10-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,3.0,3.0,18.0,3.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,2.0,2.0,3.0,16.0,4.0,0.0,0.0,2007,11,2007-11-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,3.0,3.0,17.0,3.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,1.0,2.0,3.0,16.0,4.0,0.0,0.0,2007,12,2007-12-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,2.0,2.0,3.0,16.0,4.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,2.0,2.0,3.0,18.0,4.0,0.0,0.0,2008,1,2008-01-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,1.0,2.0,3.0,16.0,4.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,2.0,2.0,2.0,17.0,4.0,0.0,0.0,2008,2,2008-02-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,2.0,2.0,3.0,18.0,4.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,2.0,2.0,3.0,18.0,5.0,0.0,0.0,2008,3,2008-03-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,2.0,2.0,2.0,17.0,4.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,2.0,3.0,3.0,18.0,5.0,0.0,0.0,2008,4,2008-04-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,2.0,2.0,3.0,18.0,5.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,2.0,2.0,3.0,19.0,5.0,0.0,0.0,2008,5,2008-05-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,2.0,3.0,3.0,18.0,5.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,2.0,3.0,3.0,20.0,6.0,0.0,0.0,2008,6,2008-06-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,2.0,2.0,3.0,19.0,5.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,2.0,3.0,3.0,20.0,6.0,0.0,0.0,2008,7,2008-07-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,2.0,3.0,3.0,20.0,6.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,2.0,2.0,3.0,20.0,7.0,0.0,0.0,2008,8,2008-08-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,2.0,3.0,3.0,20.0,6.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,2.0,3.0,3.0,18.0,8.0,0.0,0.0,2008,9,2008-09-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,2.0,2.0,3.0,20.0,7.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,2.0,3.0,18.0,7.0,0.0,0.0,2008,10,2008-10-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,2.0,3.0,3.0,18.0,8.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,2.0,2.0,3.0,18.0,9.0,0.0,0.0,2008,11,2008-11-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,2.0,3.0,18.0,7.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,2.0,2.0,3.0,17.0,10.0,0.0,0.0,2008,12,2008-12-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,2.0,2.0,3.0,18.0,9.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,3.0,3.0,18.0,9.0,0.0,0.0,2009,1,2009-01-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,2.0,2.0,3.0,17.0,10.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,3.0,3.0,18.0,9.0,0.0,0.0,2009,2,2009-02-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,3.0,3.0,18.0,9.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,3.0,3.0,20.0,10.0,0.0,0.0,2009,3,2009-03-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,3.0,3.0,18.0,9.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0,2.0,3.0,21.0,10.0,0.0,0.0,2009,4,2009-04-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,3.0,3.0,20.0,10.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,3.0,2.0,3.0,21.0,10.0,0.0,0.0,2009,5,2009-05-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0,2.0,3.0,21.0,10.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,3.0,2.0,3.0,20.0,10.0,0.0,0.0,2009,6,2009-06-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,3.0,2.0,3.0,21.0,10.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0,2.0,3.0,21.0,11.0,0.0,0.0,2009,7,2009-07-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,3.0,2.0,3.0,20.0,10.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,3.0,2.0,3.0,21.0,11.0,0.0,0.0,2009,8,2009-08-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0,2.0,3.0,21.0,11.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0,2.0,3.0,20.0,11.0,0.0,0.0,2009,9,2009-09-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,3.0,2.0,3.0,21.0,11.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0,2.0,3.0,21.0,11.0,0.0,0.0,2009,10,2009-10-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0,2.0,3.0,20.0,11.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,2.0,3.0,20.0,13.0,0.0,0.0,2009,11,2009-11-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0,2.0,3.0,21.0,11.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,2.0,3.0,19.0,15.0,0.0,0.0,2009,12,2009-12-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,2.0,3.0,20.0,13.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0,2.0,3.0,21.0,13.0,0.0,0.0,2010,1,2010-01-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,2.0,3.0,19.0,15.0,0.0,0.0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,3.0,2.0,3.0,20.0,13.0,0.0,0.0,2010,2,2010-02-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0,2.0,3.0,21.0,13.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0,3.0,3.0,21.0,13.0,0.0,0.0,2010,3,2010-03-31,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,3.0,2.0,3.0,20.0,13.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0,3.0,2.0,21.0,13.0,0.0,0.0,2010,4,2010-04-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0,3.0,3.0,21.0,13.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0,2.0,3.0,22.0,13.0,0.0,0.0,2010,5,2010-05-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0,3.0,2.0,21.0,13.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,3.0,2.0,3.0,23.0,14.0,0.0,0.0,2010,6,2010-06-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0,2.0,3.0,22.0,13.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,3.0,2.0,3.0,23.0,21.0,0.0,0.0,2010,7,2010-07-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,3.0,2.0,3.0,23.0,14.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,3.0,2.0,3.0,22.0,15.0,0.0,0.0,2010,8,2010-08-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,3.0,2.0,3.0,23.0,21.0,0.0,0.0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,3.0,2.0,3.0,22.0,16.0,0.0,0.0,2010,9,2010-09-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,3.0,2.0,3.0,22.0,15.0,0.0,0.0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,3.0,2.0,2.0,21.0,17.0,0.0,0.0,2010,10,2010-10-31,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,3.0,2.0,3.0,22.0,16.0,0.0,0.0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,3.0,2.0,3.0,21.0,20.0,0.0,0.0,2010,11,2010-11-30,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,3.0,2.0,2.0,21.0,17.0,0.0,0.0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,3.0,2.0,3.0,20.0,21.0,0.0,0.0,2010,12,2010-12-31,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,3.0,2.0,3.0,21.0,20.0,0.0,0.0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,3.0,2.0,3.0,19.0,24.0,0.0,0.0,2011,1,2011-01-31,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,3.0,2.0,3.0,20.0,21.0,0.0,0.0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,3.0,2.0,2.0,19.0,23.0,0.0,0.0,2011,2,2011-02-28,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,3.0,2.0,3.0,19.0,24.0,0.0,0.0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,3.0,2.0,2.0,20.0,25.0,0.0,0.0,2011,3,2011-03-31,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,3.0,2.0,2.0,19.0,23.0,0.0,0.0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,3.0,2.0,2.0,20.0,24.0,0.0,0.0,2011,4,2011-04-30,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,3.0,2.0,2.0,20.0,25.0,0.0,0.0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,4.0,2.0,3.0,20.0,26.0,0.0,0.0,2011,5,2011-05-31,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,3.0,2.0,2.0,20.0,24.0,0.0,0.0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,4.0,2.0,2.0,21.0,27.0,0.0,0.0,2011,6,2011-06-30,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,4.0,2.0,3.0,20.0,26.0,0.0,0.0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,4.0,3.0,3.0,21.0,28.0,0.0,0.0,2011,7,2011-07-31,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,4.0,2.0,2.0,21.0,27.0,0.0,0.0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,4.0,2.0,3.0,20.0,32.0,0.0,0.0,2011,8,2011-08-31,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,4.0,3.0,3.0,21.0,28.0,0.0,0.0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,4.0,2.0,3.0,20.0,32.0,0.0,0.0,2011,9,2011-09-30,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,4.0,2.0,3.0,20.0,32.0,0.0,0.0
0.0,0.0,0.0,1.0,1.0,0.0,0.0,7.0,3.0,2.0,2.0,19.0,33.0,0.0,0.0,2011,10,2011-10-31,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,4.0,2.0,3.0,20.0,32.0,0.0,0.0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,3.0,2.0,3.0,20.0,37.0,1.0,0.0,2011,11,2011-11-30,0.0,0.0,0.0,1.0,1.0,0.0,0.0,7.0,3.0,2.0,2.0,19.0,33.0,0.0,0.0
0.0,0.0,0.0,1.0,1.0,0.0,0.0,8.0,3.0,2.0,2.0,19.0,38.0,1.0,0.0,2011,12,2011-12-31,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,3.0,2.0,3.0,20.0,37.0,1.0,0.0
0.0,0.0,0.0,2.0,1.0,0.0,0.0,7.0,4.0,2.0,3.0,19.0,39.0,1.0,0.0,2012,1,2012-01-31,0.0,0.0,0.0,1.0,1.0,0.0,0.0,8.0,3.0,2.0,2.0,19.0,38.0,1.0,0.0
0.0,0.0,0.0,2.0,1.0,0.0,0.0,7.0,4.0,2.0,3.0,20.0,37.0,1.0,0.0,2012,2,2012-02-29,0.0,0.0,0.0,2.0,1.0,0.0,0.0,7.0,4.0,2.0,3.0,19.0,39.0,1.0,0.0
0.0,0.0,0.0,2.0,1.0,0.0,0.0,6.0,5.0,2.0,2.0,18.0,38.0,1.0,0.0,2012,3,2012-03-31,0.0,0.0,0.0,2.0,1.0,0.0,0.0,7.0,4.0,2.0,3.0,20.0,37.0,1.0,0.0
0.0,0.0,0.0,2.0,1.0,0.0,0.0,6.0,5.0,2.0,3.0,19.0,39.0,1.0,0.0,2012,4,2012-04-30,0.0,0.0,0.0,2.0,1.0,0.0,0.0,6.0,5.0,2.0,2.0,18.0,38.0,1.0,0.0
0.0,0.0,0.0,2.0,1.0,0.0,0.0,7.0,6.0,2.0,2.0,20.0,58.5,1.5,0.0,2012,5,2012-05-31,0.0,0.0,0.0,2.0,1.0,0.0,0.0,6.0,5.0,2.0,3.0,19.0,39.0,1.0,0.0
0.0,0.0,0.0,2.0,1.0,0.0,0.0,7.0,5.0,2.0,2.0,20.0,39.0,1.0,0.0,2012,6,2012-06-30,0.0,0.0,0.0,2.0,1.0,0.0,0.0,7.0,6.0,2.0,2.0,20.0,58.5,1.5,0.0
0.0,0.0,0.0,2.0,2.0,0.0,0.0,7.0,5.0,2.0,3.0,19.0,45.0,1.0,0.0,2012,7,2012-07-31,0.0,0.0,0.0,2.0,1.0,0.0,0.0,7.0,5.0,2.0,2.0,20.0,39.0,1.0,0.0
0.0,0.0,0.0,2.0,1.0,0.0,0.0,7.0,5.0,2.0,3.0,20.0,47.0,1.0,0.0,2012,8,2012-08-31,0.0,0.0,0.0,2.0,2.0,0.0,0.0,7.0,5.0,2.0,3.0,19.0,45.0,1.0,0.0
0.0,0.0,0.0,3.0,1.0,0.0,0.0,7.0,5.0,2.0,2.0,19.0,47.0,1.0,0.0,2012,9,2012-09-30,0.0,0.0,0.0,2.0,1.0,0.0,0.0,7.0,5.0,2.0,3.0,20.0,47.0,1.0,0.0
0.0,0.0,0.0,3.0,1.0,0.0,0.0,6.0,5.0,2.0,3.0,19.0,47.0,1.0,0.0,2012,10,2012-10-31,0.0,0.0,0.0,3.0,1.0,0.0,0.0,7.0,5.0,2.0,2.0,19.0,47.0,1.0,0.0
0.0,0.0,0.0,3.0,1.0,0.0,0.0,7.0,4.0,2.0,3.0,18.0,54.0,1.0,0.0,2012,11,2012-11-30,0.0,0.0,0.0,3.0,1.0,0.0,0.0,6.0,5.0,2.0,3.0,19.0,47.0,1.0,0.0
0.0,0.0,0.0,3.0,1.0,0.0,0.0,7.0,5.0,1.0,3.0,17.0,57.0,1.0,0.0,2012,12,2012-12-31,0.0,0.0,0.0,3.0,1.0,0.0,0.0,7.0,4.0,2.0,3.0,18.0,54.0,1.0,0.0
0.0,0.0,0.0,3.0,1.0,0.0,0.0,7.0,7.0,2.0,3.0,19.0,56.0,1.0,0.0,2013,1,2013-01-31,0.0,0.0,0.0,3.0,1.0,0.0,0.0,7.0,5.0,1.0,3.0,17.0,57.0,1.0,0.0
0.0,0.0,0.0,4.0,1.0,0.0,0.0,6.0,7.0,2.0,3.0,18.0,51.0,1.0,0.0,2013,2,2013-02-28,0.0,0.0,0.0,3.0,1.0,0.0,0.0,7.0,7.0,2.0,3.0,19.0,56.0,1.0,0.0
0.0,0.0,0.0,4.0,1.0,0.0,0.0,6.0,7.0,2.0,3.0,17.0,52.0,1.0,0.0,2013,3,2013-03-31,0.0,0.0,0.0,4.0,1.0,0.0,0.0,6.0,7.0,2.0,3.0,18.0,51.0,1.0,0.0
1.0,0.0,0.0,3.0,1.0,0.0,0.0,6.0,7.0,2.0,3.0,18.0,47.0,1.0,0.0,2013,4,2013-04-30,0.0,0.0,0.0,4.0,1.0,0.0,0.0,6.0,7.0,2.0,3.0,17.0,52.0,1.0,0.0
1.0,0.0,0.0,4.0,1.0,0.0,0.0,7.0,7.0,2.0,3.0,19.0,49.0,1.0,0.0,2013,5,2013-05-31,1.0,0.0,0.0,3.0,1.0,0.0,0.0,6.0,7.0,2.0,3.0,18.0,47.0,1.0,0.0
1.0,0.0,0.0,3.0,1.0,0.0,0.0,7.0,7.0,2.0,3.0,20.0,49.0,1.0,0.0,2013,6,2013-06-30,1.0,0.0,0.0,4.0,1.0,0.0,0.0,7.0,7.0,2.0,3.0,19.0,49.0,1.0,0.0
2.0,0.0,0.0,3.0,1.0,0.0,0.0,7.0,7.0,2.0,3.0,19.0,51.0,1.0,0.0,2013,7,2013-07-31,1.0,0.0,0.0,3.0,1.0,0.0,0.0,7.0,7.0,2.0,3.0,20.0,49.0,1.0,0.0
